State,2023_Price
Alabama,20.1
Alaska,13.4
Arizona,19.44
Arkansas,16.73
California,21.85
Colorado,18.38
Connecticut,18.56
Delaware,17.69
Florida,25.17
Georgia,19.03
Hawaii,53.1
Idaho,9.79
Illinois,11.57
Indiana,11.64
Iowa,11.36
Kansas,14.55
Kentucky,15.3
Louisiana,16.22
Maine,17.1
Maryland,17.35
Massachusetts,21.44
Michigan,11.41
Minnesota,11.95
Mississippi,15.64
Missouri,17.17
Montana,10.88
Nebraska,13.53
Nevada,20.59
New Hampshire,18.09
New Jersey,13.21
New Mexico,11.66
New York,16.9
North Carolina,17.33
North Dakota,9.76
Ohio,10.87
Oklahoma,13.86
Oregon,15.77
Pennsylvania,15.43
Rhode Island,20.52
South Carolina,17.46
South Dakota,10.19
Tennessee,11.68
Texas,17.52
Utah,13.45
Vermont,17.34
Virginia,17.21
Washington,15.55
West Virginia,15.62
Wisconsin,10.9
Wyoming,13.72
