State,Price_USD_per_MMBtu,Fulfilled,Produced_Bcf,Consumed_Bcf,Net_Bcf
Alabama,3.2247,False,85705.0,750656.0,-260900.855
Alaska,4.2794,True,346878.0,453935.0,0.0
Arizona,3.3686,False,29.0,522518.0,-118438.855
Arkansas,2.83,True,389369.0,383520.0,0.0
California,3.5412,False,124020.0,2087461.0,-1559294.423
Colorado,2.83,True,1617236.0,505035.0,0.0
Connecticut,3.4439,True,0.0,292231.0,0.0
Delaware,3.3778,True,0.0,82175.0,0.0
Florida,3.3668,False,409.0,1644037.0,-1239481.423
Georgia,3.2701,False,0.0,781882.0,-377831.855
Idaho,3.4135,True,2359.0,143485.0,0.0
Illinois,3.1815,False,2554.0,1075456.0,-668768.125
Indiana,3.2021,False,3826.0,875196.0,-467319.855
Iowa,3.1867,False,0.0,448941.0,-44890.855
Kansas,3.1493,True,123581.0,304399.0,0.0
Kentucky,3.2045,True,84666.0,348310.0,0.0
Louisiana,2.6885,True,4304228.0,1995103.0,1072941.581
Maine,3.5545,True,0.0,57381.0,0.0
Maryland,3.3413,True,3.0,292494.0,0.0
Massachusetts,3.4785,True,0.0,377268.0,0.0
Michigan,3.2626,False,67433.0,1064510.0,-593026.855
Minnesota,3.2654,False,0.0,506364.0,-102313.855
Mississippi,3.1894,False,27200.0,620602.0,-189351.855
Missouri,3.1564,True,0.0,310736.0,0.0
Montana,3.3653,True,40005.0,91505.0,0.0
Nebraska,3.173,True,265.0,202145.0,0.0
Nevada,3.4581,True,4.0,288931.0,0.0
New Hampshire,3.4803,True,0.0,57685.0,0.0
New Jersey,3.3925,False,0.0,698628.0,-294577.855
New Mexico,2.6885,True,2890445.0,322092.0,1332472.149
New York,3.3848,False,8219.0,1319011.0,-906645.423
North Carolina,3.2971,False,0.0,656686.0,-252635.855
North Dakota,2.83,True,895932.0,204367.0,0.0
Ohio,2.83,True,2160374.0,1354122.0,0.0
Oklahoma,2.6885,True,2551674.0,827226.0,488161.924
Oregon,3.5582,True,91.0,300176.0,0.0
Pennsylvania,2.6885,True,7490323.0,1873362.0,4380608.706
Rhode Island,3.4747,True,0.0,97575.0,0.0
South Carolina,3.3081,True,0.0,341941.0,0.0
South Dakota,3.2093,True,125.0,95502.0,0.0
Tennessee,3.2015,True,2989.0,390496.0,0.0
Texas,2.6885,True,9751071.0,5125183.0,3389701.169
Utah,3.3186,True,274678.0,286111.0,0.0
Vermont,3.4595,True,0.0,12539.0,0.0
Virginia,3.2999,False,83417.0,654812.0,-167344.855
Washington,3.5946,True,0.0,360052.0,0.0
West Virginia,2.6885,True,2898100.0,285240.0,1376575.132
Wisconsin,3.2425,False,0.0,591256.0,-187205.855
Wyoming,2.83,True,918923.0,172378.0,0.0
Hawaii,4.7427,True,0.0,2983.0,0.0
